,result,table,_time,active_energy_Wh,Device_Name,_field,_measurement
,,0,2021-10-16T14:30:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T14:45:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T15:00:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T15:15:00Z,10661,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T15:30:00Z,10669,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T15:45:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T16:00:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T16:15:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T16:30:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T16:45:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T17:00:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T17:15:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T17:30:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T17:45:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T18:00:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T18:15:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T18:30:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T18:45:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T19:00:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T19:15:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T19:30:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T19:45:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T20:00:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T20:15:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T20:30:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T20:45:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T21:00:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T21:15:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T21:30:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T21:45:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T22:00:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T22:15:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T22:30:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T22:45:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T23:00:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T23:15:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T23:30:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-16T23:45:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T00:00:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T00:15:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T00:30:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T00:45:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T01:00:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T01:15:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T01:30:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T01:45:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T02:00:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T02:15:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T02:30:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T02:45:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T03:00:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T03:15:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T03:30:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T03:45:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T04:00:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T04:15:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T04:30:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T04:45:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T05:00:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T05:15:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T05:30:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T05:45:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T06:00:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T06:15:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T06:30:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T06:45:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
,,0,2021-10-17T07:00:00Z,10688,R611-Z1-ED11,active_energy_Wh,Power_Energy
